epoch,step,train_loss
0,49,6.975141525268555
1,99,6.956269264221191
2,149,13.323444366455078
3,199,6.047705173492432
4,249,6.894509315490723
5,299,3.7831780910491943
6,349,12.894675254821777
7,399,8.23738956451416
8,449,6.762578010559082
9,499,4.319059371948242
10,549,7.512728214263916
11,599,2.601759910583496
12,649,8.665422439575195
13,699,4.378244400024414
14,749,7.201961040496826
15,799,5.555109024047852
16,849,5.392476558685303
17,899,5.300887107849121
18,949,5.153712749481201
19,999,4.101348400115967
20,1049,7.242456912994385
21,1099,11.304793357849121
22,1149,4.4948248863220215
23,1199,5.426753997802734
24,1249,3.0336430072784424
25,1299,3.037493944168091
26,1349,1.923746943473816
27,1399,3.064767599105835
28,1449,3.462303400039673
29,1499,2.4870479106903076
30,1549,2.5107040405273438
31,1599,2.6584835052490234
32,1649,2.4900729656219482
33,1699,4.6604437828063965
34,1749,3.4529736042022705
35,1799,4.05703592300415
36,1849,5.081024169921875
37,1899,2.527323007583618
38,1949,3.89607834815979
39,1999,2.3382997512817383
40,2049,3.880610942840576
41,2099,5.07949686050415
42,2149,2.49517822265625
43,2199,2.835588216781616
44,2249,2.793546676635742
45,2299,4.748088359832764
46,2349,3.4358930587768555
47,2399,2.869291305541992
48,2449,2.788379430770874
49,2499,1.8032411336898804
50,2549,1.9487861394882202
51,2599,2.3259692192077637
52,2649,3.60677433013916
53,2699,2.192575216293335
54,2749,4.84283447265625
55,2799,4.259934425354004
56,2849,2.259751796722412
57,2899,2.279815435409546
58,2949,2.8699169158935547
59,2999,2.6249802112579346
60,3049,1.7902963161468506
61,3099,2.3922860622406006
62,3149,4.5120463371276855
63,3199,1.897615909576416
64,3249,2.7768335342407227
65,3299,3.266326904296875
66,3349,2.119316816329956
67,3399,2.8827431201934814
68,3449,1.9786603450775146
69,3499,2.4384069442749023
70,3549,1.4623934030532837
71,3599,1.3951462507247925
72,3649,1.171534776687622
73,3699,1.74988853931427
74,3749,1.9633979797363281
75,3799,2.6222143173217773
76,3849,1.7694659233093262
77,3899,1.4912946224212646
78,3949,1.159990668296814
79,3999,2.2312815189361572
80,4049,1.6930463314056396
81,4099,1.5720064640045166
82,4149,1.56565260887146
83,4199,1.7856297492980957
84,4249,1.4682269096374512
85,4299,1.4889336824417114
