epoch,loss_epoch,loss_step,step
0,,6.088894844055176,49
0,5.252081871032715,,78
1,,6.005630970001221,99
1,,1.5968031883239746,149
1,5.02846622467041,,157
2,,1.615101933479309,199
2,4.981215476989746,,236
3,,3.0786471366882324,249
3,,2.9298014640808105,299
3,4.928061008453369,,315
4,,4.606616973876953,349
4,4.863942623138428,,394
5,,4.434693336486816,399
5,,4.180002212524414,449
5,4.787464618682861,,473
6,,6.9774370193481445,499
6,,2.2470736503601074,549
6,4.694494247436523,,552
7,,2.7526731491088867,599
7,4.593717098236084,,631
8,,4.273635387420654,649
8,,5.057690620422363,699
8,4.474653244018555,,710
9,,6.86445426940918,749
9,4.350618362426758,,789
10,,5.0478034019470215,799
10,,8.502860069274902,849
10,4.2139458656311035,,868
11,,3.6514205932617188,899
11,4.069446563720703,,947
12,,2.6756229400634766,949
12,,3.8846442699432373,999
12,3.9207422733306885,,1026
13,,4.231586456298828,1049
13,,1.832772135734558,1099
13,3.770876169204712,,1105
14,,3.302767276763916,1149
14,3.599628210067749,,1184
15,,4.320507049560547,1199
15,,4.0864763259887695,1249
15,3.441009759902954,,1263
16,,1.6647846698760986,1299
16,3.2741858959198,,1342
17,,4.332339286804199,1349
17,,3.024463653564453,1399
17,3.1084091663360596,,1421
18,,3.5470995903015137,1449
18,,3.4667768478393555,1499
18,2.94783878326416,,1500
19,,2.5938735008239746,1549
19,2.7989470958709717,,1579
20,,3.348757266998291,1599
20,,4.8533148765563965,1649
20,3.095656633377075,,1658
21,,2.6572582721710205,1699
21,2.828003406524658,,1737
22,,1.773031234741211,1749
22,,3.3922741413116455,1799
22,2.6285994052886963,,1816
23,,2.4201717376708984,1849
23,2.4483513832092285,,1895
24,,2.10489559173584,1899
24,,3.4445927143096924,1949
24,2.288438320159912,,1974
25,,1.8638137578964233,1999
25,,2.3245503902435303,2049
25,2.151599884033203,,2053
26,,2.413846969604492,2099
26,2.020381450653076,,2132
27,,2.1554768085479736,2149
27,,2.7139978408813477,2199
27,1.9071978330612183,,2211
28,,1.1535519361495972,2249
28,1.793667197227478,,2290
29,,2.2549617290496826,2299
29,,1.016033411026001,2349
29,1.6911683082580566,,2369
30,,1.109120488166809,2399
30,1.6001193523406982,,2448
31,,1.4818644523620605,2449
31,,1.7227784395217896,2499
31,1.5124017000198364,,2527
32,,1.2684229612350464,2549
32,,1.6149152517318726,2599
32,1.4320427179336548,,2606
33,,1.0962626934051514,2649
33,1.361403465270996,,2685
34,,1.205923318862915,2699
34,,1.828683853149414,2749
34,1.2838975191116333,,2764
35,,1.3654379844665527,2799
35,1.217040777206421,,2843
36,,0.9281105995178223,2849
36,,1.5356309413909912,2899
36,1.1620577573776245,,2922
37,,0.7210449576377869,2949
37,,1.4791799783706665,2999
37,1.096622109413147,,3001
38,,1.2511835098266602,3049
38,1.0546138286590576,,3080
39,,0.9639295935630798,3099
39,,1.1657376289367676,3149
39,0.9989094734191895,,3159
40,,2.717045545578003,3199
40,2.3535819053649902,,3238
41,,1.4049049615859985,3249
41,,2.2785415649414062,3299
41,1.9319477081298828,,3317
42,,1.5227606296539307,3349
42,1.734647512435913,,3396
43,,1.6361970901489258,3399
43,,1.5960676670074463,3449
43,1.5609558820724487,,3475
44,,1.1434215307235718,3499
44,,1.45210862159729,3549
44,1.4414916038513184,,3554
45,,0.9699751734733582,3599
45,1.344850778579712,,3633
46,,1.630913257598877,3649
46,,1.3275792598724365,3699
46,1.2674455642700195,,3712
47,,1.1283860206604004,3749
47,1.1867775917053223,,3791
48,,0.9045596122741699,3799
48,,0.8464906811714172,3849
48,1.1276129484176636,,3870
49,,1.410443663597107,3899
49,,0.729051411151886,3949
49,1.071698784828186,,3949
50,,1.1974183320999146,3999
50,1.019562840461731,,4028
51,,0.6987155675888062,4049
51,,0.7517017722129822,4099
51,0.9658798575401306,,4107
52,,0.7715446949005127,4149
52,0.9278132915496826,,4186
53,,0.6787986755371094,4199
53,,0.8587561845779419,4249
53,0.892163872718811,,4265
54,,0.7505030632019043,4299
54,0.8590748310089111,,4344
55,,0.7373983860015869,4349
55,,1.1143302917480469,4399
55,0.828482449054718,,4423
56,,1.014756679534912,4449
56,,1.0555578470230103,4499
56,0.795645534992218,,4502
57,,0.5570921897888184,4549
57,0.7672839164733887,,4581
58,,0.6484418511390686,4599
58,,0.6177830696105957,4649
58,0.7391607761383057,,4660
59,,0.5535352230072021,4699
59,0.7163276076316833,,4739
60,,2.370676040649414,4749
60,,1.9816052913665771,4799
60,1.9659074544906616,,4818
61,,1.4540860652923584,4849
61,1.4625474214553833,,4897
62,,1.2775158882141113,4899
62,,1.1660234928131104,4949
62,1.2604382038116455,,4976
63,,0.9860680103302002,4999
63,,0.975864052772522,5049
63,1.1449713706970215,,5055
64,,1.2333152294158936,5099
64,1.0757458209991455,,5134
65,,0.8874415159225464,5149
65,,0.7318499088287354,5199
65,1.001448392868042,,5213
66,,0.8852869272232056,5249
66,0.951279878616333,,5292
67,,0.820022463798523,5299
67,,0.7525392770767212,5349
67,0.9028086066246033,,5371
68,,0.7912731766700745,5399
68,,0.863052487373352,5449
68,0.8645834922790527,,5450
69,,0.7458295822143555,5499
69,0.8256520628929138,,5529
70,,0.7557910084724426,5549
70,,1.0517356395721436,5599
70,0.792929470539093,,5608
71,,0.6697750091552734,5649
71,0.7661430835723877,,5687
72,,0.6934555768966675,5699
72,,0.5222163200378418,5749
72,0.7331144213676453,,5766
73,,0.7344488501548767,5799
73,0.7170444130897522,,5845
74,,0.6953819990158081,5849
74,,0.7988671064376831,5899
74,0.6817191243171692,,5924
75,,0.7442117929458618,5949
75,,0.6897643804550171,5999
75,0.6663674116134644,,6003
76,,1.0264110565185547,6049
76,0.6402378678321838,,6082
77,,0.6451101303100586,6099
77,,0.6667894124984741,6149
77,0.6227940917015076,,6161
78,,0.48336291313171387,6199
78,0.6033719182014465,,6240
79,,0.6145303249359131,6249
79,,0.6420921087265015,6299
79,0.5890064239501953,,6319
80,,1.38936448097229,6349
80,1.486968755722046,,6398
81,,0.9597148299217224,6399
81,,0.5802268385887146,6449
81,1.0984283685684204,,6477
82,,0.8187311887741089,6499
82,,1.1890275478363037,6549
82,0.969078004360199,,6556
83,,1.0010416507720947,6599
83,0.8978251218795776,,6635
84,,0.752538800239563,6649
84,,0.7035241723060608,6699
84,0.827359676361084,,6714
85,,0.7947773337364197,6749
85,0.7904394268989563,,6793
86,,0.669505774974823,6799
86,,0.8225337266921997,6849
86,0.7471646070480347,,6872
87,,0.597661554813385,6899
87,,0.6930689811706543,6949
87,0.7118428945541382,,6951
88,,0.6005933880805969,6999
88,0.678338885307312,,7030
89,,0.7343133687973022,7049
89,,0.8222752213478088,7099
89,0.6523540616035461,,7109
90,,0.37028613686561584,7149
